epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.9952,1.51734,3.37983,1.76708,0.0027,0.81479,0.24834,0.14604,1.42413,3.15429,1.91091,0.00031438,0.00031438,0.00031438
2,19.4026,1.55599,2.82428,1.74816,0.79578,0.15833,0.16911,0.07589,1.95329,3.30721,2.81835,0.000636684,0.000636684,0.000636684
3,28.901,1.68875,2.77417,1.8312,0.77806,0.08333,0.14608,0.06435,2.24552,3.37305,3.07918,0.00095248,0.00095248,0.00095248
4,39.1362,1.73096,2.72265,1.83531,0.32966,0.34064,0.27824,0.1317,1.75191,4.07614,2.4958,0.00126177,0.00126177,0.00126177
5,48.5768,1.63204,2.51809,1.77691,0.55549,0.28484,0.30184,0.13693,2.01002,3.95723,2.61496,0.00137241,0.00137241,0.00137241
6,57.8784,1.70014,2.50475,1.819,0.29908,0.37786,0.29179,0.15049,2.02323,4.783,2.79946,0.00135826,0.00135826,0.00135826
7,67.3111,1.70421,2.47838,1.82436,0.2337,0.29281,0.1667,0.08188,2.0658,3.88889,2.67106,0.00134412,0.00134412,0.00134412
8,78.1273,1.71374,2.45527,1.85695,0.45627,0.22859,0.29483,0.17216,1.76129,4.22535,2.27608,0.00132997,0.00132997,0.00132997
9,87.7062,1.64609,2.34839,1.79894,0.22777,0.41258,0.24925,0.1297,1.98848,3.60374,2.69269,0.00131582,0.00131582,0.00131582
10,97.0585,1.62759,2.2417,1.77413,0.76703,0.18798,0.29814,0.16092,1.78138,3.25901,2.25259,0.00130168,0.00130168,0.00130168
11,106.43,1.61358,2.23833,1.77,0.32681,0.30082,0.22534,0.12976,2.11155,3.16273,2.77644,0.00128753,0.00128753,0.00128753
12,115.94,1.58298,2.08686,1.76482,0.34823,0.29199,0.23521,0.12111,2.09042,2.86227,2.7249,0.00127338,0.00127338,0.00127338
13,125.297,1.63475,2.17748,1.77605,0.37265,0.47557,0.29441,0.14971,1.93353,2.89926,2.61477,0.00125923,0.00125923,0.00125923
14,134.517,1.56897,2.05222,1.72137,0.38977,0.34636,0.30816,0.17555,1.92167,2.55128,2.4807,0.00124509,0.00124509,0.00124509
